Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,
C10,0603,1,0.1uF,
C11,0603,1,0.1uF,
C12,CP_EIA-3528-21_Kemet-B,1,100uF/10v,
C13,0603,1,0.1uF,
"C14, C2",CP_EIA-3216-18_Kemet-A,2,10uF/10v,
C3,0603,1,0.1uF,
C4,0603,1,0.1uF,
C5,0603,1,0.1uF,
C6,0603,1,0.1uF,
C7,0603,1,0.1uF,
C8,0603,1,12pF,
C9,0603,1,12pF,
D1,LED_D3.0mm,1,LED,
IC1,DIL20,1,GAL16V8D,
"IC2, IC3",SOP32L,2,KM684000ALG,
IC4,SOP-8_3.9x4.9mm_P1.27mm,1,NJM4558,
IC5,80-QFP,1,YMF278B-F,
IC6,SOP50P2000X120-48N,1,AM29F016B-120EC,
LOGO_MSX,LOGO_MSX,1,,
Q1,Crystal_HC49-U_Vertical,1,33.8688,
R1,0603,1,3.3K,
R2,0603,1,330,
R3,0603,1,1K,
R4,0603,1,2K,
R5,0603,1,1K,
R6,0603,1,1K,
R7,0603,1,1K,
R8,0603,1,1K,
SW1,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,SW_Push,
U1,KCX_BT_EMITTER,1,KCX_BT_EMITTER,
U2,UDA1334MOD,1,UDA1334MOD,
